MonthDay;Hour of day;Consumption;Rate
12/29;2;0.31;Off-peak
12/29;3;0.29;Off-peak
12/29;4;0.3;Off-peak
12/29;5;0.29;Off-peak
12/29;6;0.29;Off-peak
12/29;7;0.28;Off-peak
12/29;8;0.3;On-peak
12/29;9;0.31;On-peak
12/29;10;0.32;On-peak
12/29;11;0.76;On-peak
12/29;12;0.84;Mid-peak
12/29;13;0.7;Mid-peak
12/29;14;0.65;Mid-peak
12/29;15;0.71;Mid-peak
12/29;16;0.74;Mid-peak
12/29;17;0.66;Mid-peak
12/29;18;0.7;On-peak
12/29;19;0.76;On-peak
12/29;20;0.66;Off-peak
12/29;21;0.64;Off-peak
12/29;22;0.63;Off-peak
12/29;23;0.44;Off-peak
12/30;0;0.53;Off-peak
12/30;1;0.31;Off-peak
12/30;2;0.31;Off-peak
12/30;3;0.28;Off-peak
12/30;4;0.26;Off-peak
12/30;5;0.29;Off-peak
12/30;6;0.28;Off-peak
12/30;7;0.27;Off-peak
12/30;8;0.27;On-peak
12/30;9;0.32;On-peak
12/30;10;0.5;On-peak
12/30;11;0.31;On-peak
12/30;12;0.26;Mid-peak
12/30;13;0.55;Mid-peak
12/30;14;0.37;Mid-peak
12/30;15;0.34;Mid-peak
12/30;16;0.66;Mid-peak
12/30;17;0.58;Mid-peak
12/30;18;0.44;On-peak
12/30;19;0.78;On-peak
12/30;20;0.55;Off-peak
12/30;21;0.58;Off-peak
12/30;22;0.47;Off-peak
12/30;23;0.51;Off-peak
12/31;0;0.31;Off-peak
12/31;1;0.42;Off-peak
